temp_start,temp_complete,action_length
76.725,77.292,285.0
77.292,77.684,255.0
77.509,77.945,245.0
77.727,78.076,245.0
77.509,77.815,254.0
77.639,78.033,265.0
77.553,77.859,255.0
77.639,77.77,255.0
77.684,77.77,255.0
77.639,78.033,255.0
77.553,77.945,255.0
77.509,77.859,255.0
77.553,77.815,245.0
77.684,77.77,255.0
77.639,78.033,254.0
77.553,77.945,265.0
77.684,77.815,255.0
77.596,77.99,265.0
77.727,77.99,245.0
77.553,77.902,255.0
77.639,77.99,254.0
77.596,77.99,274.0
77.639,77.859,264.0
77.684,77.815,254.0
77.815,78.165,274.0
77.815,78.033,274.0
77.859,78.251,274.0
77.77,78.121,275.0
77.859,78.076,275.0
77.77,77.945,255.0
77.684,77.902,255.0
77.727,77.902,265.0
77.77,78.208,265.0
77.77,78.208,265.0
77.727,78.076,275.0
77.77,77.99,265.0
77.815,78.165,265.0
77.684,78.033,255.0
77.684,78.208,226.0
77.029,77.421,285.0
77.378,77.77,254.0
77.77,78.033,245.0
77.815,78.208,265.0
77.684,77.945,265.0
77.77,77.99,274.0
77.727,78.076,275.0
77.77,78.076,275.0
77.815,78.121,275.0
77.815,78.076,265.0
77.815,78.121,285.0
77.902,78.251,295.0
77.859,77.99,295.0
77.77,78.121,294.0
77.77,78.076,284.0
77.902,78.165,274.0
77.815,77.945,284.0
77.859,78.208,284.0
77.77,77.99,275.0
78.251,78.471,225.0
78.076,78.165,204.0
77.945,78.251,224.0
77.77,77.945,235.0
77.859,78.076,245.0
78.165,78.645,225.0
78.296,78.382,225.0
77.859,78.076,235.0
77.639,77.99,265.0
77.553,77.859,275.0
77.596,77.902,264.0
77.639,77.684,254.0
77.639,77.99,265.0
77.553,77.859,274.0
77.684,77.815,265.0
77.639,77.945,284.0
77.684,77.859,274.0
77.727,77.859,295.0
77.815,78.208,285.0
77.77,78.121,295.0
77.639,77.727,344.0
77.727,77.945,335.0
77.509,77.727,345.0
77.727,77.945,365.0
75.16,75.333,295.0
74.943,75.247,285.0
74.727,74.986,275.0
74.727,74.986,275.0
74.77,75.074,274.0
74.683,74.813,284.0
74.64,74.856,274.0
74.64,74.856,274.0
74.64,74.856,274.0
74.64,74.943,284.0
74.77,74.943,285.0
74.597,74.899,265.0
74.813,74.899,275.0
